"Gene","Cell","R","pValue"
"GFRA3","Monocytes","-0.383020975931921","0.0277984545914943"
"GFRA3","Mast cells resting","-0.625394283318565","9.96015839901862e-05"
"DAPK1","Dendritic cells activated","0.462137109663314","0.00677720997656697"
"NDRG4","B cells naive","-0.393716577540107","0.0241220844112355"
"NDRG4","T cells CD4 memory activated","0.381067844743555","0.0286720459948383"
"NDRG4","T cells regulatory (Tregs)","-0.356647448391517","0.0416166592515663"
"SFRP2","Monocytes","-0.390933146326759","0.0244796864992895"
"JPH3","T cells CD8","0.357620320855615","0.0417008517877662"
"JPH3","T cells regulatory (Tregs)","-0.367844908111401","0.0351949982714894"
"FOXF2","B cells naive","-0.482620320855615","0.00488877710949069"
"FOXF2","Neutrophils","0.385899061046077","0.0265510035792699"
"PLOD1","T cells CD8","-0.402406417112299","0.0209737898373614"
"PLOD1","T cells follicular helper","-0.462919949796508","0.00667202314295755"
"ZNF331","B cells naive","-0.390708556149733","0.0252996083949757"
"ZNF331","T cells CD4 memory activated","0.494468731517107","0.00344414816273454"
"ZNF331","T cells follicular helper","0.444818807661091","0.00949392196641922"
"ZNF331","T cells regulatory (Tregs)","-0.391242585138024","0.0243568358591712"
"ZNF331","T cells gamma delta","0.360345483965279","0.0393992314558572"
"PKNOX2","B cells memory","-0.355556819759829","0.0422894565010865"
"CDO1","B cells memory","-0.385779149439414","0.0266020432064531"
"CDO1","T cells CD4 memory activated","0.439641275749714","0.0104665331091703"
"CDO1","T cells follicular helper","0.371073413776057","0.03350087569741"
"RASSF2","T cells CD8","0.418114973262032","0.0161528586228895"
"RASSF2","NK cells resting","-0.349929244807006","0.0459012993965814"
"RASSF2","NK cells activated","0.459172775599682","0.00718844573352578"
"RASSF2","Mast cells activated","-0.367302706988406","0.0354862101968768"
"DERL3","B cells memory","-0.4164459251437","0.0159213237267355"
"DERL3","Plasma cells","-0.486441926904584","0.00409918501478509"
"DERL3","T cells follicular helper","0.359173588853699","0.0400913591667005"
"CD274","T cells CD8","-0.45855614973262","0.00782364499836243"
"CD274","T cells regulatory (Tregs)","0.465279520300836","0.00636337180427284"
"CD274","Monocytes","-0.423660760232679","0.014015650257068"
"CD274","Macrophages M0","0.355143312011235","0.0425468198718174"
"CXCL1","T cells CD8","0.547794117647059","0.00115652488934014"
"CXCL1","T cells CD4 memory activated","0.386175992796418","0.0264334364550139"
"CXCL1","T cells follicular helper","0.407108094878971","0.018704759126794"
"CXCL1","Macrophages M0","-0.362496867648173","0.038153721343415"
"CXCL1","Dendritic cells resting","0.475738855323277","0.00513778318479696"
"CXCL1","Mast cells activated","-0.369356972687447","0.0343931077601067"
"PYCARD","T cells CD8","0.384024064171123","0.0280880089774433"
"PYCARD","Monocytes","0.394889231524177","0.0229469413740463"
"GC","T cells CD8","0.376336898395722","0.0316043212304088"
"GC","T cells gamma delta","0.374080625730772","0.0319830907187478"
"GC","NK cells resting","-0.383587777745187","0.0275490605678263"
"GC","Macrophages M0","-0.533968415000421","0.00137189853282469"
"GC","Mast cells resting","0.567668169438514","0.000569980875532989"
"GC","Mast cells activated","-0.579302927129366","0.00041159401854457"
"NODAL","T cells CD8","0.420120320855615","0.0156107867762729"
"NODAL","Monocytes","0.400283893157021","0.0209852938134394"
"NODAL","Mast cells activated","-0.425232999701343","0.0136268246425177"
"SGCE","B cells memory","-0.399112530180408","0.0213989817208871"
"SGCE","T cells CD4 memory activated","0.38549490638937","0.0267233512557303"
"BRINP1","T cells CD4 memory activated","0.425338461201698","0.013601070628695"
"BRINP1","Monocytes","-0.353530159005707","0.0435628904332893"
"IRF2BPL","T cells CD8","0.44451871657754","0.0101523605718829"
"IRF2BPL","T cells CD4 memory resting","-0.362633689839572","0.0387691638080812"
"IRF2BPL","T cells CD4 memory activated","0.348375697205234","0.0469406975111654"
"SCNN1B","Monocytes","-0.358565176529695","0.0404545368502016"
"SCNN1B","Macrophages M0","0.353806301895428","0.0433875890402253"
"RDH13","B cells memory","-0.426668183711795","0.0132798380418966"
"RDH13","Monocytes","-0.417546810382122","0.015617273901567"
"TMTC1","T cells CD4 memory activated","-0.352462215647524","0.0442462020231541"
"TMTC1","NK cells activated","0.385907707728262","0.0265473262823681"
"TMTC1","Macrophages M1","-0.434491978609626","0.0121571643332202"
"CLDN11","T cells CD4 memory activated","0.39775446171624","0.021887032201741"
"CLDN11","T cells follicular helper","0.404258841024322","0.0196305222134284"
"RBPMS2","B cells naive","-0.362967914438503","0.0385798601937086"
"RBPMS2","T cells CD4 memory activated","0.358251450107435","0.0406428418128113"
"RBPMS2","Neutrophils","0.391923029359474","0.0240884772659645"
