"Gene","Cell","R","pValue"
"ERBB2","T cells CD4 memory resting","0.31238494204185","0.0439983222745109"
"ERBB2","T cells regulatory (Tregs)","0.357084983935817","0.0202622986681587"
"ERBB2","NK cells activated","-0.343364328135113","0.025996084218787"
"GSTP1","B cells memory","0.308226665916055","0.0470445482422252"
"GSTP1","Plasma cells","-0.332631067174459","0.0318905022939864"
"PRDM14","T cells follicular helper","0.357185593542386","0.0202245408096518"
"PCNA","T cells CD4 memory resting","-0.374504175701395","0.0145465577062788"
"CTNNB1","Mast cells resting","0.334907229638308","0.0301598086313513"
"BST2","B cells naive","0.315179516256319","0.0420425844230473"
"BST2","NK cells activated","0.396268121075425","0.00937883713506946"
"BST2","Macrophages M1","-0.352078437727899","0.0227494728606376"
"BST2","Macrophages M2","-0.305890932663479","0.0492632931819438"
"S100A7A","Plasma cells","-0.322583259055182","0.037699415539141"
"S100A7A","Macrophages M1","0.307835669718823","0.0477830400195749"
"HSP90AA1","Plasma cells","-0.388866380358156","0.011392538616056"
"TBX5","T cells CD4 memory resting","-0.325719437225312","0.0352928591359867"
"TBX5","Eosinophils","-0.314181494254911","0.0427327467265576"
"TBX5","Neutrophils","-0.35477040367932","0.0211474102655955"
"ADHFE1","Plasma cells","0.333117251438295","0.0316294607612406"
"ADHFE1","Neutrophils","0.329279927971801","0.0332245769151439"
"HNF1B","Plasma cells","-0.306701239769873","0.0486420470105224"
"HNF1B","Neutrophils","-0.40726065957704","0.00743195557693304"
"PTPRF","B cells naive","-0.435772758783807","0.00391890304601818"
"PTPRF","Plasma cells","-0.45514950166113","0.00270368475403439"
"PTPRF","T cells CD4 memory activated","0.314383985123574","0.0425919782653494"
"PTPRF","Macrophages M1","0.419982173243659","0.00599170506134703"
"HOXD3","Plasma cells","-0.349971639251276","0.023618627335295"
"HOXD13","Dendritic cells activated","0.316231169188822","0.0413251785636321"
"ESCO2","Macrophages M1","0.357264403208816","0.020724123031007"
"ESCO2","Mast cells resting","0.363446301646816","0.0179883143884332"
"TRIM58","T cells CD4 memory resting","0.347591261642089","0.0241013294779174"
"TRIM58","T cells follicular helper","-0.338728700818934","0.028214793713831"
"SCGB1A1","Plasma cells","-0.51819139453853","0.000526375163747054"
"CCNE1","Mast cells resting","0.341249245640199","0.0269897132115215"
"COBL","Macrophages M0","0.390162871728385","0.0111036291938568"
"VAX1","T cells CD8","0.314642249412527","0.0428851900584937"
"CH25H","B cells naive","0.31096523627552","0.0450198123591461"
"ADCYAP1","T cells CD8","0.321448829106231","0.038406891695637"
"ADCYAP1","Macrophages M1","0.441212219431164","0.00374058239486219"
"HCFC1","B cells memory","-0.333257600340339","0.031033000133374"
"HCFC1","NK cells resting","0.319501044422944","0.039158025778716"
"CCND1","NK cells resting","0.477605524265527","0.00138135001352983"
"DPP6","NK cells resting","0.310215677213823","0.0455668341472767"
"TBX4","T cells CD4 memory resting","-0.402799324017523","0.00817540748077923"
"TBX4","NK cells activated","0.306961075115091","0.0480048207308379"
"CMTM2","Eosinophils","-0.312425063818825","0.0439697300935263"
