"Gene","Cell","R","pValue"
"RECK","Macrophages M0","-0.470165494807303","0.00252592132043317"
"RECK","Mast cells resting","0.671255060728745","5.41769553400702e-06"
"CDH13","T cells CD4 memory resting","0.410243433897524","0.00948908843469266"
"CDH13","Monocytes","0.430313487105543","0.00625008310177444"
"CDH13","Macrophages M0","-0.360443342736019","0.0241898736602532"
"CDH13","Mast cells resting","0.335627530364372","0.0372776189088618"
"TERT","B cells naive","0.351029910870124","0.0284436652757227"
"TERT","T cells CD4 memory resting","0.516422896556913","0.000763877770926877"
"TERT","NK cells activated","-0.343697727908401","0.0321693596289393"
"TERT","Macrophages M0","-0.319348145558028","0.0475158211310404"
"TERT","Macrophages M1","0.383603238866397","0.0164843382031785"
"ITPKA","B cells memory","-0.372240181920809","0.0196185315466112"
"ITPKA","T cells CD4 memory activated","-0.325893687735631","0.0429046233289184"
"ITPKA","Mast cells resting","0.491093117408907","0.00170462858002386"
"LY6K","B cells naive","0.389392176216081","0.0142772824750641"
"LY6K","T cells gamma delta","0.3265627862834","0.0424544376085221"
"LY6K","Mast cells activated","0.350001081436209","0.028943871857133"
"HOPX","B cells naive","0.327850600146578","0.0415987457927604"
"HOPX","T cells regulatory (Tregs)","-0.373557407940294","0.0191563043755246"
"HOPX","T cells gamma delta","0.3265627862834","0.0424544376085221"
"HOPX","Monocytes","0.436950433430054","0.00541411338396797"
"HOXA11","Mast cells resting","-0.406275303643725","0.0107797241366191"
"AKT1","B cells naive","-0.485348449429713","0.00173716647430342"
"MALT1","B cells naive","0.330684751676095","0.0397648421039982"
"TAC1","T cells gamma delta","-0.324998681251594","0.0435128451306083"
"TAC1","Monocytes","-0.323469531520804","0.0445681545077229"
"MIR34A","B cells naive","-0.353965282097124","0.0270556128942216"
"MIR34A","Plasma cells","-0.351189918434859","0.0283665164571393"
"MIR34A","T cells CD4 memory resting","-0.318538387978166","0.0481130320667805"
"MIR34A","Macrophages M0","0.335543297155266","0.0367743269709579"
"MIR34A","Neutrophils","0.42023627037008","0.00773164554199809"
"DEGS1","Macrophages M2","0.37995951417004","0.0176061309064655"
"BRCA2","B cells memory","-0.329879990521571","0.040278764663939"
"BRCA2","Plasma cells","-0.38967093602576","0.014201835664033"
"BRCA2","T cells CD8","-0.350523812382711","0.0286888258396285"
"BMP3","NK cells activated","-0.332347076392272","0.0387201606970683"
"BMP3","Macrophages M0","-0.325826206196923","0.0429502404664679"
"BMP3","Mast cells resting","0.407085020242915","0.0106122123358749"
"CFTR","B cells memory","-0.36217963646349","0.0234661804851655"
"CYFIP1","T cells gamma delta","0.456830391075204","0.00346157488730337"
"CYFIP1","Macrophages M2","0.363562753036437","0.023487828464677"
"SLC16A5","T cells regulatory (Tregs)","0.439360203376931","0.00513550144041048"
"BMP8B","B cells memory","0.341529043156361","0.0333451279043011"
"BMP8B","T cells CD4 memory resting","-0.352042107844952","0.0279585325185786"
"BMP8B","NK cells activated","0.422698262460662","0.00734433785804206"
"BMP8B","Macrophages M0","0.42158004001559","0.00751813189116518"
"BMP8B","Mast cells resting","-0.400404858299595","0.012063490227817"
"PLAT","T cells CD4 memory activated","0.431777434529115","0.006056692362406"
"PLAT","Macrophages M1","0.45","0.0043948225195868"
"PLAT","Mast cells resting","-0.402631578947368","0.0115619211218786"
"CTNNB1","T cells follicular helper","0.340300622936954","0.0340266112509299"
"CTNNB1","NK cells activated","0.383425008214854","0.0159754716961532"
"UCHL1","Dendritic cells activated","-0.329027645647008","0.0408289485772273"
"NODAL","B cells memory","0.352119091006171","0.027921917015097"
"NODAL","Mast cells resting","-0.489878542510121","0.00175577602962213"
"HIC1","B cells memory","-0.36217963646349","0.0234661804851655"
"HIC1","Mast cells resting","0.493522267206478","0.00160627649158245"
"HIC1","Mast cells activated","-0.331468497699042","0.0392694791111214"
"RUNX3","Macrophages M2","0.382793522267206","0.0167282346780193"
"RUNX3","Dendritic cells resting","-0.363754244048165","0.0228255404521437"
"RUNX3","Mast cells resting","0.34412955465587","0.0325115910182789"
"SFRP4","T cells follicular helper","0.370059213996878","0.0204043706227715"
"GRIN2B","T cells CD4 memory activated","0.325893687735631","0.0429046233289183"
"GRIN2B","Macrophages M2","-0.45080971659919","0.00431794859971695"
"GRIN2B","Mast cells resting","-0.40748987854251","0.0105292983618819"
"DLEC1","Mast cells resting","0.397773279352227","0.0126801697453961"
"HR","Plasma cells","-0.370531693066075","0.02023193244385"
"TM6SF1","NK cells resting","0.386749429521286","0.0150095361527752"
"TM6SF1","Macrophages M2","-0.430566801619433","0.00663554805822106"
"TM6SF1","Dendritic cells activated","-0.385252073325137","0.015438319389829"
"TM6SF1","Mast cells resting","-0.323076923076923","0.0453520239486416"
"AKR1B1","Mast cells resting","0.419838056680162","0.0082541623354277"
"AKR1B1","Mast cells activated","-0.321937454634213","0.0456461464372689"
"MT1F,MT1A","T cells CD4 memory resting","0.371375070064154","0.0199271587882704"
"MT1M","B cells memory","-0.382300727378128","0.0163137700837605"
"MT1M","Plasma cells","0.364455742920143","0.022544857185974"
"MT1M","T cells CD4 memory activated","0.435370296196758","0.00560382296796073"
"MT1M","T cells regulatory (Tregs)","0.32800162648416","0.0414993195754022"
"MT1M","Monocytes","-0.413122708101074","0.00895078667598108"
"IGFBP7","T cells regulatory (Tregs)","-0.401700757373194","0.0112519485240136"
"IGFBP7","NK cells resting","0.36175221029613","0.0236426401806043"
"LMNA","T cells regulatory (Tregs)","0.439360203376931","0.00513550144041048"
"HOXA9","NK cells activated","0.359588640030982","0.0245528713989014"
"HOXA9","Macrophages M2","-0.42165991902834","0.00795738567366019"
"HOXA9","Mast cells resting","-0.393522267206478","0.0137332769039335"
"TDRD10","B cells naive","0.495976517665401","0.00132298611711636"
"PRAC2,PRAC1","T cells CD4 memory activated","-0.359286166764315","0.0246824126103019"
"PRAC2,PRAC1","Dendritic cells activated","-0.372917122354935","0.0193798339378745"
"PRAC2,PRAC1","Mast cells resting","0.411538461538462","0.00973030957076688"
"RAD51","Plasma cells","-0.337316498934981","0.035729727969131"
"HOXD9","T cells CD8","-0.429373956721761","0.00637698426239977"
"HOXD9","Macrophages M0","0.470367934202269","0.00251362326479199"
"PGR","Mast cells resting","-0.554048582995951","0.000317600317324094"
